project_id,project_name,sector,ministry,implementing_agency,update_date,original_cost,revised_cost,expenditure_to_date,physical_progress_pct,milestones_planned,milestones_completed,cost_overrun_ratio,financial_completion_ratio,milestone_completion_ratio,burn_vs_progress_gap,elapsed_days,planned_duration_days,time_elapsed_ratio,progress_velocity,progress_trend_3,expenditure_trend_3,expected_progress_pct,progress_to_time_gap,cost_overrun_label,delay_label
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,3964.55,3995.2,602.51,3.0,30,0,0.007731016130456076,0.15080847016419704,0.0,12.080847016419705,0,852,0.0,0.0,0.0,0.0,0.0,3.0,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-04-01,3964.55,4025.85,657.2,3.0,30,0,0.015462032260912266,0.16324502900008694,0.0,13.324502900008696,31,852,0.036384976525821594,0.0,0.0,0.0,3.6384976525821595,-0.6384976525821595,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-05-01,3964.55,4056.5,702.22,7.06,30,1,0.023193048391368456,0.17310982373967707,0.03333333333333333,10.250982373967709,61,852,0.0715962441314554,0.13533333333333333,0.0,0.0,7.159624413145541,-0.09962441314554127,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-06-01,3964.55,4087.15,694.29,7.99,30,2,0.030924064521824647,0.16987142629949964,0.06666666666666667,8.997142629949964,92,852,0.107981220657277,0.03000000000000002,4.99,91.77999999999997,10.7981220657277,-2.8081220657276997,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-07-01,3964.55,4117.81,931.06,11.69,30,3,0.03865760300664646,0.22610562410601748,0.1,10.920562410601748,122,852,0.1431924882629108,0.12333333333333331,8.69,273.8599999999999,14.319248826291082,-2.6292488262910823,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-08-01,3964.55,4148.46,864.67,14.14,30,3,0.04638861913710253,0.20843156255574358,0.1,6.703156255574356,153,852,0.1795774647887324,0.07903225806451616,7.080000000000001,162.44999999999993,17.95774647887324,-3.8177464788732394,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-09-01,3964.55,4179.11,1399.47,23.54,30,6,0.054119635267558606,0.33487273606102735,0.2,9.947273606102733,184,852,0.215962441314554,0.30322580645161284,15.549999999999999,705.1800000000001,21.5962441314554,1.9437558685445993,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-10-01,3964.55,4209.76,1062.85,17.66,30,4,0.06185065139801491,0.2524728250541598,0.13333333333333333,7.587282505415981,214,852,0.2511737089201878,-0.19599999999999998,5.970000000000001,131.78999999999996,25.11737089201878,-7.45737089201878,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-11-01,3964.55,4240.41,1299.41,25.33,30,8,0.06958166752847099,0.30643499095606325,0.26666666666666666,5.313499095606325,245,852,0.2875586854460094,0.2474193548387096,11.189999999999998,434.7400000000001,28.755868544600936,-3.425868544600938,1,1
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-12-01,3964.55,4271.07,1639.6,24.44,30,8,0.07731520601329268,0.3838850686127832,0.26666666666666666,13.948506861278322,275,852,0.3227699530516432,-0.029666666666666567,0.9000000000000021,240.12999999999988,32.27699530516432,-7.836995305164319,1,1
